21-NOV-19 04.17.41.721000000 PM  02:00 1 start
21-NOV-19 04.17.41.736000000 PM  02:00 1 end
21-NOV-19 04.17.41.752000000 PM  02:00 2 start
21-NOV-19 04.17.41.767000000 PM  02:00 2 end
21-NOV-19 04.17.41.783000000 PM  02:00 3 start
21-NOV-19 04.17.41.799000000 PM  02:00 3 end
21-NOV-19 04.17.41.814000000 PM  02:00 4 start
21-NOV-19 04.17.41.830000000 PM  02:00 4 end
21-NOV-19 04.17.41.846000000 PM  02:00 5 start
21-NOV-19 04.17.41.861000000 PM  02:00 5 end
21-NOV-19 04.17.41.877000000 PM  02:00 6 start
21-NOV-19 04.17.41.892000000 PM  02:00 6 end
21-NOV-19 04.17.41.908000000 PM  02:00 7 start
21-NOV-19 04.17.45.788000000 PM  02:00 7 end
21-NOV-19 04.17.45.819000000 PM  02:00 8 start
21-NOV-19 04.17.46.553000000 PM  02:00 8 end
21-NOV-19 04.17.46.569000000 PM  02:00 9 start
21-NOV-19 04.17.46.631000000 PM  02:00 9 end
21-NOV-19 04.17.46.647000000 PM  02:00 10 start
21-NOV-19 04.17.46.663000000 PM  02:00 10 end
21-NOV-19 04.17.46.678000000 PM  02:00 11 start
21-NOV-19 04.17.46.694000000 PM  02:00 11 end
21-NOV-19 04.17.46.694000000 PM  02:00 12 start
21-NOV-19 04.17.46.710000000 PM  02:00 12 end
21-NOV-19 04.17.46.725000000 PM  02:00 13 start
21-NOV-19 04.17.46.741000000 PM  02:00 13 end
21-NOV-19 04.17.46.741000000 PM  02:00 14 start
21-NOV-19 04.17.46.741000000 PM  02:00 14 end
21-NOV-19 04.17.46.741000000 PM  02:00 15 start
21-NOV-19 04.18.11.250000000 PM  02:00 15 end
21-NOV-19 04.18.11.281000000 PM  02:00 16 start
21-NOV-19 04.18.11.297000000 PM  02:00 16 end
21-NOV-19 04.18.11.313000000 PM  02:00 17 start
21-NOV-19 04.18.11.328000000 PM  02:00 17 end
